id,title,titleKr,artist,tj,ky,series_id,type
dad0ad61-145d-423b-a43d-0f362b367114,回レ！雪月花,,가조설월화(歌組雪月花),28415ⓗ,43685,,INSERT
d8d87d7d-a136-4115-bc80-b15a38f992ed,コンディショングリーン ~緊急発進~,,카사하라 히로코(笠原弘子),25717,42338,,INSERT
eab31c71-0633-458c-92c8-ae28e1f317e9,FLYING IN THE SKY,,우시마 요시후미(鵜島仁文),25469,XXX,,INSERT
c36976b8-4898-414b-84ed-94fed4892922,Trust You Forever,,우시마 요시후미(鵜島仁文),28510ⓗ,XXX,,INSERT
7fac2e3f-23ed-4a70-ba4d-9af7b285e633,혼자 가지 마,,지선,15123,XXX,,INSERT
c7861f79-8aca-4e28-8491-af097350394a,DREAMS,,ROMANTIC MODE,25577,XXX,,INSERT
c61ee62b-bc99-4137-b32f-0949fa3486e6,Resolution,,ROMANTIC MODE,25647,XXX,,INSERT
4bbfcb1d-31bf-4e08-9a63-ed78e9352db7,유년시대,,팀,XXX,85053,,INSERT
4665ee8b-d994-4efb-a859-04f66f333ee9,翔べ! ガンダム,,이케다 코우(池田鴻),26405,42542ⓕ,,INSERT
8661a792-05b1-4f06-a465-1fdc6e2d27bd,哀 戦士,,이노우에 다이스케(井上大輔),25909,42523ⓕ,,INSERT
393e5d46-d72d-4f14-bea3-621fc20db6c1,Beyond the Time (メビウスの宇宙を越えて),,TM NETWORK,25374,41684,,INSERT
4a7284e7-ffae-4f9c-88e4-efb38489751e,嵐の中で輝いて,,요네쿠라 치히로(米倉千尋),25265,40527ⓕ,,INSERT
aef2512e-2aaa-4bb4-9426-850c71fc1afc,永遠の扉,,요네쿠라 치히로(米倉千尋),25677,XXX,,INSERT
1de3e87b-49e3-47ca-a805-04a8d24d9f52,Raise your flag,,MAN WITH A MISSION,27853,43968,,INSERT
3ec52893-664d-4545-b1b8-cd5084192497,オルフェンズの涙,,MISIA,27973ⓗ,XXX,,INSERT
b3291e07-5e20-4052-8b0e-43c89def3b8a,Survivor,,BLUE ENCOUNT,27844,44017,,INSERT
3f44c187-d813-4604-9d28-76e4621b7bae,RAGE OF DUST,,SPYAIR,27969,44094,,INSERT
d2977505-7cec-4079-aea2-61b09d1375d9,閃光,,[Alexandros],68444,44692,,INSERT
6c694963-9a72-483d-8248-c95c276571e1,祝福,,YOASOBI,68684,44846,,INSERT
4233c4ed-4f33-4c5d-ac0e-27ac2e6a269c,Slash,,yama,68817,44949,,INSERT
d3282de3-d2f9-4666-8134-008b830a01c4,My World,,SPYAIR,27646,43542,,INSERT
616380c4-5a03-46f3-8899-1e50157a9eb6,ETERNAL WIND－ほほえみは光る風の中－,,모리구치 히로코(森口博子),26362,42023,,INSERT
2eee5e93-3ff9-4a29-8d87-7590620bf144,DAYBREAK'S BELL,,L'Arc~en~Ciel,26668,42582,,INSERT
0909a635-818d-4e95-b80b-5c4f54aa59d4,罠,,THE BACK HORN,26702,42610,,INSERT
287b4865-b321-4926-8508-3f555d620cea,フレンズ,,스테파니(ステファニー),28258ⓗ,42642,,INSERT
ef041b8a-4d36-4fca-af8b-d022d11dbfb6,Ash Like Snow,,the brilliant green,26768,42646,,INSERT
379a300b-6255-4c69-91e3-defcbd52fec7,儚くも永久のカナシ,,UVERworld,26833,42968,,INSERT
9e04d152-fdf5-457a-a0d3-f59d0541102e,Prototype,,이시카와 치아키(石川智晶),26855,42849,,INSERT
d7b848a2-16b9-4441-b899-c169099fa051,泪のムコウ,,스테레오 포니(ステレオポニー),26881,42883,,INSERT
